bucketStartMillis,count,throughputMsgPerSec
1772696550000,16693,1669.3
1772696560000,29398,2939.8
1772696570000,23540,2354.0
1772696580000,18672,1867.2
1772696590000,16160,1616.0
1772696600000,12705,1270.5
1772696610000,11422,1142.2
1772696620000,12850,1285.0
1772696630000,15215,1521.5
1772696640000,13940,1394.0
1772696650000,16195,1619.5
1772696660000,16639,1663.9
1772696670000,15030,1503.0
1772696680000,14574,1457.4
1772696690000,14811,1481.1
1772696700000,12754,1275.4
1772696710000,14939,1493.9
1772696720000,14913,1491.3
1772696730000,15791,1579.1
1772696740000,15491,1549.1
1772696750000,15372,1537.2
1772696760000,12714,1271.4
1772696770000,14205,1420.5
1772696780000,14973,1497.3
1772696790000,15642,1564.2
1772696800000,15201,1520.1
1772696810000,15115,1511.5
1772696820000,14135,1413.5
1772696830000,15304,1530.4
1772696840000,15028,1502.8
1772696850000,15560,1556.0
1772696860000,15019,1501.9
